steps,return
0,1501.8307999999997
1,1553.1665999999987
2,1366.3871999999992
3,1277.2931999999996
4,1194.0645000000006
5,1155.0868999999989
6,1322.3699000000004
7,1436.746900000001
8,1613.7636999999993
9,1700.0630999999976
10,1007.5862000000008
11,1161.9193999999998
12,1627.8807000000002
13,1116.3368999999984
14,1713.8498999999986
15,1632.5501000000008
16,1707.0097000000007
17,1142.075699999999
18,1539.3829999999987
19,1569.7824999999996
20,1721.2395999999892
21,1288.9866999999986
22,1242.0537999999988
23,1704.7412000000054
24,1617.084000000002
25,1719.3898000000088
26,1662.1471999999967
27,1261.4972999999975
