steps,return
0,1731.8107999999906
1,1742.404900000003
2,1724.3000999999929
3,1696.329000000007
4,1721.5699999999915
5,1712.7929999999933
6,1708.462500000003
7,1716.7507000000014
8,1727.0642999999852
9,1723.8832999999895
10,1731.546499999995
11,1726.6400000000078
12,1715.1041999999757
13,1723.0283999999967
14,1730.1817000000017
15,1708.457900000018
16,1727.9962000000157
17,1710.679899999998
18,1712.4457999999906
19,1728.3906999999924
20,1734.9992000000036
21,1728.7316000000048
22,1705.863799999999
23,1745.2457000000227
24,1702.4338000000082
25,1690.8683000000037
26,1727.824200000007
27,1727.4234000000051
28,1735.9896000000233
29,1715.0205999999794
30,1698.9605000000054
31,1734.095300000003
32,1721.3389999999952
33,1716.6378000000002
34,1740.4213000000289
