steps,return
0,2289.744199999996
1,2307.7093000000036
2,2328.082000000001
3,2349.8191000000006
4,2363.532800000001
5,2383.5609999999992
6,2396.505699999999
7,2419.6390999999967
8,2371.8357999999967
9,2437.137999999997
10,2442.3154
11,2457.995200000001
12,2464.4919000000014
13,2463.9583999999995
14,2468.9896999999983
15,2472.9790000000044
16,1548.1428999999998
17,2125.0672999999997
18,2462.6303999999996
19,2468.0752999999977
20,2480.614300000004
21,1946.3664999999999
22,2492.293499999999
23,2484.3897000000006
24,2484.9441999999985
25,2507.7857999999974
26,2502.341100000005
27,2501.8686000000052
28,2502.5312000000013
29,2504.8035000000027
30,2493.223899999997
31,2516.254899999998
32,1009.428500000001
33,2520.834599999998
34,2526.9383
35,2515.4175999999998
36,2526.9007999999994
37,2287.086600000001
38,2533.027799999997
39,2544.1161000000016
40,495.1806999999996
41,2542.6405999999993
42,2556.9460000000004
43,2549.5580000000004
44,2545.859000000001
45,2491.8845000000006
46,2550.0049999999974
47,2537.667499999998
48,2536.852699999997
49,2556.2576999999997
50,2554.6305
51,2572.982499999996
52,2322.807299999997
53,2554.100399999999
54,2076.332500000001
55,2579.788100000001
56,2551.358400000003
57,2595.512999999998
58,2575.747299999998
59,2572.7689999999966
60,2597.6542000000004
61,2583.0248000000015
62,2596.6474999999996
63,2600.6059999999998
64,2603.6547000000037
65,2597.006199999999
66,2596.5194999999985
67,2475.874200000004
68,2558.5919000000054
69,2583.4664999999954
70,2582.321900000001
71,2575.8331999999996
72,2593.327699999997
73,2589.641200000002
74,2620.0876000000003
75,2600.3748000000005
76,2565.0015999999987
77,2611.7873999999956
78,2632.403599999997
79,1224.9231999999993
80,2601.6654999999996
81,510.8923
82,2658.039800000003
83,2655.1049000000035
84,2629.8217000000022
85,2634.5456999999997
86,2631.4492999999957
87,1689.2286000000006
88,514.8507000000002
89,2627.7208000000055
90,2627.1822999999995
91,2596.0010999999968
92,2620.9281000000024
93,2538.8785999999996
94,2612.448400000001
95,2621.193200000002
96,2577.521600000001
97,2574.113800000004
98,2614.1814999999997
99,2571.2108999999978
100,2682.191200000003
101,2709.883399999997
102,2680.262199999999
103,2669.1945999999984
104,2678.8069000000046
105,2644.8567000000025
106,2668.2520999999974
107,613.6777
108,1741.8256000000015
109,2580.093299999997
110,2661.953500000002
111,2657.7248000000036
112,2627.6588999999976
113,2704.2437000000045
114,2665.239299999999
115,2627.068600000002
116,858.5146999999995
117,2679.0737000000004
118,403.47259999999994
119,947.2845000000005
120,2616.346200000002
121,2727.632999999997
122,1114.4382000000005
123,2705.409800000002
124,2676.2036999999955
125,2690.0314999999987
126,874.4327999999999
127,2695.394000000001
128,655.6623999999995
129,2686.236799999998
130,2719.5349999999967
131,2709.9449000000004
132,2682.2874999999995
133,2703.3145999999983
134,2763.0592999999985
135,2737.0534999999986
136,1545.8663000000004
137,2678.4665000000005
138,2617.9771000000023
139,2694.965700000003
140,2691.672800000005
141,2751.056900000005
142,1178.9410000000007
143,1011.3021000000003
144,2729.7571000000003
145,695.2847000000005
146,2759.3503000000023
147,2649.3599
148,593.9739
149,2654.582399999998
150,2721.1625999999997
151,794.3059999999999
152,2695.784200000001
153,916.4565999999995
154,2777.294800000002
155,849.1723000000001
156,634.6639999999996
157,787.8381999999999
158,2762.8332000000023
159,2737.0593
160,2697.764199999997
161,2728.738500000001
162,2720.7676000000006
163,1996.7941000000012
164,2657.1103000000016
165,2718.843099999996
166,2706.3106999999995
167,2734.8698999999965
168,2693.6044000000015
169,2764.5683000000026
170,2563.098300000002
171,2749.3021
172,2686.407099999997
173,2713.378699999999
174,2687.7682999999965
175,2691.2762999999977
176,2687.1830000000036
177,2739.998599999999
178,2688.311099999999
179,2800.4438999999998
180,2764.9765999999972
181,2768.136
182,2769.341600000003
183,2684.0052999999984
184,2682.7586000000024
185,2766.4145000000017
186,2684.2288000000035
187,2700.390300000001
188,2744.5703000000008
189,2846.9691999999973
190,2731.9377000000036
191,2847.383900000002
192,2760.465999999999
193,2761.6793999999954
194,2792.066900000001
195,2762.4902999999995
196,2698.3047999999994
197,839.2258999999997
198,2803.6271000000024
199,616.8141
200,1257.1820000000002
201,2787.118799999999
202,2794.636399999999
203,2686.7063999999946
204,2808.0049000000035
205,2835.009800000004
206,2803.8678
207,2608.7086000000036
208,2847.465100000002
209,2856.6957999999986
210,2838.779499999997
211,2862.3247999999985
212,2890.120799999998
213,2785.5880999999986
214,2858.487200000003
215,2820.663499999998
216,990.0099
217,2894.7001999999957
218,2842.3005000000026
219,2934.3696999999975
220,2845.8055000000036
221,2709.332200000002
222,2807.7113999999992
223,2925.261499999999
224,2911.4333000000024
225,2597.6853999999953
226,2597.699900000003
227,2942.493999999996
228,2920.687700000006
229,2936.9900999999973
230,2996.023500000002
231,2864.9542000000015
232,2909.4667000000018
233,2890.234400000005
234,2987.9990000000007
235,2959.8434000000016
236,1935.1547000000012
237,2926.9529999999972
238,2912.337900000001
239,2983.895499999998
240,2840.5255
241,2891.886700000002
242,2946.7764999999954
243,2909.2107999999967
244,2909.082
245,2973.3156999999983
246,2954.017500000003
247,2983.379700000004
248,2956.9864000000007
249,2973.0272000000004
250,2942.4786999999997
251,2987.5311000000015
252,2925.3880999999997
253,2767.3702999999978
254,2942.6148
255,1760.7704000000006
256,2302.3621000000016
257,2988.7300000000023
258,3020.3638000000014
259,2940.2298999999975
260,2975.1333000000004
261,2878.6449999999995
262,2996.7707999999975
263,2987.975599999998
264,2962.906799999996
265,2912.8236000000034
