steps,return
0,1555.2787000000005
1,1878.8382000000013
2,2198.5579000000002
3,2347.759000000003
4,2542.976499999998
5,2386.916900000002
6,2716.6363000000006
7,2726.9978999999985
8,2817.3434000000025
9,2824.568699999998
10,2846.9884999999977
11,2986.887000000003
12,3028.1411000000035
13,3001.320700000002
14,3137.8963999999996
15,3163.095000000003
16,3138.2773999999968
17,3238.5060000000003
18,3326.4314
19,3616.691499999999
20,3839.130700000003
21,3444.855100000002
22,3892.4376999999986
23,3794.6025000000013
24,2729.5928999999983
25,3477.9526999999994
26,3670.513400000003
27,1607.085400000001
28,3736.5235000000025
29,3946.428300000002
30,1727.3283999999992
31,3208.9132999999993
32,3198.7594000000017
33,2994.158700000005
34,2595.9177999999993
35,3451.7338999999974
36,4298.6635000000015
37,3943.918799999999
38,3688.2376999999965
39,4379.047700000001
40,4745.038799999998
41,4464.888900000002
42,3701.022900000001
43,4538.023500000002
44,4773.2586999999985
45,4570.8896
46,4919.483899999996
47,4778.470099999997
48,4697.602599999997
49,-18.317
50,4528.199799999998
51,2030.6318999999983
52,4891.635900000003
53,4141.449399999999
54,4514.094700000003
55,4133.073899999996
56,4516.842900000004
57,5366.0752
58,4506.2641
59,4183.5652999999975
60,3119.024300000003
61,4876.982199999997
62,4758.312899999996
63,5398.109599999999
64,4507.59360000001
65,4930.485299999997
66,5380.472300000002
67,5140.428300000004
68,4849.848399999997
69,4788.940400000004
70,5459.917600000003
71,4988.019100000004
72,4941.1557
73,2583.962500000001
74,4850.645599999999
75,5447.724700000005
76,4727.2068999999965
77,5489.289800000006
78,5734.518699999991
79,4386.761799999999
80,5500.2575
81,4542.9124999999985
82,5479.441599999996
83,5219.166499999995
84,5278.654900000006
85,5830.376699999993
86,5500.198400000006
87,5653.083200000001
88,5836.511700000007
89,5513.917999999996
90,2896.446600000002
91,4584.493199999998
92,5102.131199999998
93,5823.51679999999
94,5736.341800000002
95,4075.2330999999976
96,5614.910099999994
97,4633.8637999999955
98,5734.1916
99,5669.7125
100,5922.199799999996
101,6018.469599999995
102,6168.058499999996
103,3515.6609000000003
104,5358.668200000003
105,6015.8510000000015
106,5742.243200000006
107,5864.623299999995
108,5688.827199999994
109,5891.642799999991
110,4917.814499999999
111,6045.0933999999925
112,6265.642499999999
113,5859.1094
114,1993.0235999999995
115,5730.740100000005
116,5877.300999999993
117,6056.405599999989
118,6078.5115
119,5811.383899999993
120,6248.689699999996
121,5696.838800000003
122,6149.197800000008
123,6149.576199999996
124,5392.809300000004
125,6257.692200000008
126,6173.817399999998
127,5896.384699999995
128,5975.947500000003
129,6043.05179999999
130,4067.1447000000026
131,6232.502199999999
132,5926.504799999995
133,6387.025399999999
134,2432.1472999999987
135,5716.900899999998
136,5780.4656
137,3734.3164999999963
138,6114.9640000000045
139,6103.438900000001
140,6292.646199999998
141,5914.258599999999
142,6292.7694999999985
143,2992.8250000000007
144,6157.583600000008
145,6197.911300000007
146,6183.4299
147,5471.838400000002
148,6049.867799999999
149,6266.4200999999985
150,6211.973100000002
151,6169.334099999996
152,6364.843100000005
153,6149.527399999996
154,6152.1731999999965
155,6209.049399999997
156,6321.907599999996
157,6215.329000000004
158,6153.885800000005
159,6168.311600000008
160,5543.5578000000005
161,4886.542999999997
162,6003.891600000001
163,5961.455900000004
164,5843.8903999999975
165,6346.883800000002
166,6343.321299999999
167,5950.000400000004
168,6024.889500000005
169,6327.919900000003
170,5884.648899999994
171,5489.385599999999
172,6037.673999999998
173,6172.531299999997
174,6072.659000000001
175,6237.4280000000035
176,5790.883900000007
177,6293.482799999999
178,6060.198799999998
179,6239.803100000001
180,6559.464900000005
181,6418.337500000003
182,5770.738400000004
183,6269.503800000014
184,1954.5879999999993
185,6028.2394
186,5365.224499999998
187,6176.018299999998
188,6150.049800000005
189,6300.2638
190,5524.305199999998
191,6010.857600000007
192,6264.516099999995
193,5966.247399999998
194,6140.454200000007
195,5831.914299999994
196,5385.095399999998
197,6247.895000000005
198,6353.769099999989
199,5794.67790000001
200,6488.841000000004
201,3831.4065
202,6076.686099999992
203,5982.072999999991
204,5606.321099999995
205,6372.59419999999
206,6121.649200000001
207,5885.049800000008
208,2742.5295000000015
209,6285.988099999999
210,6529.828900000005
211,1925.7803999999978
212,2269.5706000000027
213,4395.897199999998
214,6311.629199999994
215,6078.196200000008
216,6224.581599999994
217,5097.244299999999
218,6377.162300000003
219,6510.746300000006
220,6372.552499999994
221,6544.834400000001
222,6662.6485000000075
223,6221.731300000006
224,6473.414500000002
225,6315.946900000002
226,6447.880999999992
227,6434.673899999997
228,6016.776500000004
229,6364.734500000004
230,6426.597599999999
231,6372.156499999997
