steps,return
0,1731.7609999999765
1,1739.2782999999988
2,2300.866799999996
3,3559.2711999999997
4,5758.633099999999
5,6187.644700000004
6,6845.363400000001
7,9088.100899999994
8,10837.13259999999
9,11142.421300000007
10,13241.560400000006
11,14855.200699999994
12,16279.43930000001
13,18268.68619999999
14,17423.932999999986
15,19934.413599999974
16,20580.228700000007
17,22618.766100000015
18,21159.41060000003
19,25121.652100000003
20,24718.179199999988
21,24876.32390000001
22,26135.242499999975
23,23448.255100000002
24,23812.240500000065
25,26221.817200000012
26,21501.322699999997
27,24678.68260000002
28,26226.716600000003
29,20656.1492
30,25750.049099999964
31,26170.66720000002
32,23452.3502
33,25181.20989999997
34,23384.1372
35,26569.4474
36,28386.609899999967
37,28014.267499999976
38,26219.203100000002
39,24837.17059999998
40,27104.540699999987
41,27174.714499999995
42,27765.713300000003
43,26778.44289999998
44,27528.08570000004
45,28126.915000000048
46,29402.138900000005
47,30984.7189
48,28824.171499999986
49,29329.4748
50,29890.196300000018
51,26933.350300000002
52,27379.146400000027
53,35212.041
54,28325.810200000007
55,28128.30389999997
56,30669.4721
57,34542.637699999985
58,15704.49150000001
59,29504.84280000003
60,24649.648800000028
61,27506.21700000001
62,37201.37160000001
63,28648.52739999999
64,33745.25769999999
65,26624.404600000013
66,28830.013300000017
67,31779.364
68,30211.53320000001
69,27433.284500000027
70,33372.588800000005
71,32898.81960000001
72,26086.963700000033
73,30346.238600000037
74,33142.76419999998
75,33057.716100000005
76,29953.40680000001
77,34216.09269999998
78,31342.042700000024
79,27768.44479999998
80,31444.6292
81,30948.11419999997
82,33581.20400000001
83,31278.29749999999
84,34205.4102
85,30635.00330000002
86,29100.006700000005
87,27159.55400000001
88,28420.543200000026
89,10465.461799999986
90,30719.863
91,31347.912499999995
92,36656.00909999999
93,32185.450899999996
94,31736.1656
95,36307.01660000002
96,33825.235300000015
97,34319.14249999999
98,40728.73379999999
99,38416.11640000004
100,35601.87569999995
101,33056.36049999998
102,34198.087299999985
103,38636.945699999975
104,38331.63179999999
105,41838.01139999993
106,34854.35769999999
107,38372.82520000002
108,33255.560399999995
109,39405.61999999995
110,36533.90800000001
111,25827.92920000003
112,37428.7513
113,39478.149199999985
114,40829.969400000016
115,42749.17379999997
116,35292.80730000001
117,32781.9561
118,35722.64729999995
119,37366.01790000003
120,39863.631900000015
121,40202.63650000002
122,35281.36909999997
123,45055.185099999995
124,36422.12
125,45556.1404
126,40080.57030000002
127,33593.74789999999
128,31644.258600000005
129,39778.7135
130,41843.21390000001
