steps,return
0,177.1928099999999
1,171.58162000000002
2,274.10418999999985
3,161.1029899999999
4,297.16943000000003
5,345.9547000000001
6,307.5341600000001
7,189.05846000000008
8,361.17518000000024
9,137.10074000000003
10,373.1022300000001
11,92.87322000000002
12,326.20955999999995
13,244.26799000000008
14,381.68453
15,378.2405600000004
16,292.01066999999983
17,449.45229999999987
18,341.6033499999998
19,202.1397300000001
20,308.17681000000033
21,163.87985000000006
22,364.02546
23,257.5237800000001
24,463.81679
25,270.70632000000006
26,327.3137300000001
27,374.5393799999998
28,160.59378999999984
29,338.7881400000001
30,189.46160999999998
31,346.31012
32,465.97664000000003
33,457.63064999999966
34,518.8647000000004
35,330.0429800000004
36,169.20086999999992
37,352.50080999999983
38,221.5109700000001
39,330.0204700000001
40,157.45123999999998
41,369.3274999999998
42,193.49174
43,369.40557999999976
44,184.58389000000008
45,345.5022399999999
46,524.6337799999995
47,501.61656000000033
48,376.91823
49,249.34653999999992
50,349.6140300000001
51,140.09405999999998
52,370.80027999999993
53,274.9784299999999
54,244.55880000000005
55,225.07363999999995
56,378.1440900000002
57,465.83180999999973
58,359.18222999999995
59,203.61060999999992
60,294.74437000000006
61,196.34783000000002
62,465.2366600000001
63,567.2638600000006
64,355.2333499999999
65,270.86758999999995
66,364.7581999999998
67,263.2395199999999
68,333.3744700000001
69,216.12447999999992
70,490.80304000000007
71,182.11528999999993
72,336.3577000000002
73,348.4963100000001
74,176.17344999999995
75,326.8128300000001
76,192.40681999999993
77,347.79354000000023
78,294.8951599999999
79,450.36686999999955
80,456.66178000000065
81,501.14486000000016
82,575.3311100000002
83,564.1495700000003
84,600.5119900000005
85,651.5192800000005
86,687.4697700000004
87,686.3441899999998
88,690.9153099999993
89,693.34743
90,636.7524699999996
91,702.2661999999998
92,631.64749
93,645.4802199999999
94,643.4582900000006
95,672.9479099999994
96,76.04705000000003
97,633.6279299999998
98,682.4993099999999
99,658.3816400000001
100,754.0569500000001
101,593.2122600000001
102,684.0391900000002
103,728.33097
104,696.70487
105,625.9531000000004
106,684.6435399999998
107,629.9645799999995
108,698.0230200000002
109,760.8404099999997
110,598.9211000000001
111,647.4881100000002
112,591.37799
113,767.6036999999997
114,573.6115599999999
115,582.8648299999998
116,738.8241500000001
117,738.1702299999994
118,730.3988100000004
119,678.2886000000001
120,702.2411700000004
121,673.48766
122,604.1458400000001
123,768.5051000000001
124,778.7172100000001
125,792.6119700000003
126,732.1203999999998
127,675.7008899999998
128,630.3766699999999
129,712.2523300000003
130,769.37163
131,645.71337
132,674.7906400000002
133,690.3788
134,634.8068799999995
135,736.0444000000002
136,627.8908299999997
137,663.6711200000004
138,513.1703200000001
139,748.68818
140,644.2661499999999
141,621.96351
142,653.8938699999998
143,681.0774300000002
144,632.2900099999999
145,697.6514599999995
146,742.8939900000001
147,651.1505299999998
148,806.00688
149,586.2291999999999
150,635.7209300000003
151,657.3026199999998
152,653.4223200000001
153,673.9424299999998
154,662.91025
155,622.03114
156,665.2693100000002
157,650.1998700000004
158,666.0232900000001
159,670.0853499999997
160,583.4922
161,644.8606999999996
162,624.5469099999998
163,635.1884900000001
164,638.7402599999996
165,583.1851200000001
166,629.9619500000006
167,674.3903300000002
168,648.3624099999998
169,598.11704
170,617.96534
171,724.2668000000004
172,554.80001
173,725.0181900000001
174,525.8245400000002
175,625.5036900000001
176,656.7740399999998
177,606.8421200000003
178,689.00433
179,539.6519199999997
180,677.1650899999999
181,671.9067
182,563.00353
183,577.98576
184,590.1677199999998
185,613.5525800000003
186,639.7849400000002
187,555.11687
188,729.9371999999997
189,500.80538000000007
190,664.97473
191,579.63041
192,577.56066
193,654.8316499999997
194,661.45111
195,734.5398899999999
196,612.6945099999999
197,607.0108400000003
198,774.8395700000001
199,632.4569600000002
200,756.3934100000001
201,584.0091000000001
202,839.85115
203,475.96807
204,726.5298700000005
205,804.1294900000001
206,544.6382399999997
207,849.7220300000005
208,593.5036899999998
209,677.0723
210,677.0436699999998
211,873.4118300000001
212,720.9923699999999
213,633.1371699999996
214,851.1769699999998
215,723.5697299999995
