steps,return
0,2404.668899999984
1,3103.567299999983
2,1790.749499999999
3,8482.434899999998
4,12204.618700000005
5,12933.960900000016
6,14088.168999999985
7,12960.031599999995
8,15670.048800000015
9,17518.70230000001
10,19203.051600000013
11,20031.382800000014
12,17993.570100000034
13,19731.725800000007
14,20446.878100000024
15,20644.194000000003
16,24681.13020000001
17,22742.0402
18,22131.480699999946
19,20442.00759999998
20,23513.73029999999
21,16823.301699999993
22,23406.466400000005
23,23169.679599999992
24,24240.266699999982
25,5230.926799999997
26,15471.297000000011
27,23148.96689999995
28,24872.48919999999
29,24932.942
30,25625.17859999997
31,25472.132899999986
32,27323.26249999997
33,24003.8024
34,21947.33809999997
35,24129.898299999983
36,26683.30090000002
37,22915.44730000002
38,25456.806800000013
39,27596.26889999997
40,24685.417999999983
41,19998.431600000018
42,30562.463300000014
43,16773.895099999987
44,24954.854399999975
45,7309.796299999998
46,24367.64810000001
47,27156.916599999997
48,27892.668399999984
49,28884.98559999999
50,27647.872600000017
51,31913.577800000003
52,26429.13109999998
53,30006.79259999999
54,32500.17219999997
55,27306.361999999976
56,29441.664499999995
57,29176.754800000013
58,20811.31240000003
59,29614.963499999983
60,27912.767100000015
61,7135.6954
62,25514.026200000022
