steps,return
0,2350.0508999999943
1,2475.6144999999947
2,2986.116900000001
3,3004.363799999994
4,3138.8625999999904
5,4002.6446999999916
6,4711.296199999994
7,5509.872999999986
8,6287.260599999992
9,6747.721399999987
10,6984.369399999994
11,7881.171300000002
12,6972.156099999998
13,7739.066999999995
14,8113.579399999978
15,9346.183400000002
16,9844.5094
17,10583.465899999994
18,11157.945900000012
19,12721.347200000007
20,14929.409700000011
21,14421.257899999995
22,14191.58660000001
23,14773.327700000002
24,13894.954300000005
25,11897.928900000003
26,13606.499999999989
27,16542.90599999999
28,15825.230800000008
29,15403.903400000003
30,14026.457700000004
31,14615.133699999993
32,15278.737900000015
33,16851.364399999984
34,18211.45330000001
35,15547.199099999989
36,14251.572600000001
37,13538.182799999986
38,15263.782000000001
39,18526.21160000003
40,20588.72070000001
41,16736.83729999999
42,17014.77690000001
43,16177.470799999997
44,20178.79680000004
45,12255.589599999994
46,11169.159500000009
47,16596.183
48,14482.862900000016
49,15153.896200000017
