steps,return
0,2291.1138000000005
1,2314.4857000000015
2,2335.9349000000007
3,2358.990899999999
4,2375.2374999999965
5,2393.4612000000006
6,2421.625000000001
7,2426.4352999999987
8,2445.9829999999984
9,2455.138
10,2388.935300000003
11,2471.3110999999994
12,2467.4431999999993
13,2481.6393999999987
14,2493.233599999998
15,2486.2630000000013
16,2510.9475999999986
17,2499.3382999999994
18,2505.05
19,2528.680599999997
20,2487.327100000003
21,2511.161299999999
22,2534.5816000000004
23,2533.1546000000035
24,1953.2875999999997
25,2556.3566999999994
26,2566.713999999999
27,2563.6401
28,2550.3829999999994
29,2578.374799999999
30,587.2053000000003
31,1094.6389000000001
32,2594.3292999999967
33,2606.244199999998
34,1418.0152999999996
