steps,return
0,1764.4489000000017
1,1544.7706000000035
2,1783.3618999999908
3,1964.7936
4,1799.4080000000006
5,3037.011799999997
6,3675.4308000000005
7,3030.3685000000005
8,4300.4195
9,3687.3392000000026
10,4336.1365000000005
11,3491.9612999999968
12,4296.037599999997
13,4278.343300000001
14,4576.296000000006
15,4491.042200000003
16,4739.839999999998
17,4382.542099999999
18,4632.816800000002
19,4590.3676000000005
20,4771.770200000008
21,4360.953899999996
22,4693.442099999999
23,4734.471799999999
24,4394.135099999995
25,4383.462699999995
26,4726.5925999999945
27,4719.064100000008
28,4588.737999999992
29,4539.6061999999965
30,4676.278699999995
31,4586.431999999997
32,4249.302799999997
33,4592.947299999995
34,4773.260800000006
35,4552.7622999999985
36,4570.176799999993
37,4756.062900000002
38,4832.4683
39,4513.990199999999
40,4298.834099999995
41,4706.391000000003
42,4663.109699999993
