# {"t_start": 1608789182.3069544} 
r,l,t
14.747942,503,991.213528
21.681152,800,1022.043958
10.938351,245,1023.247935
18.611383,356,1026.933701
23.468227,800,1028.986778
14.341836,550,1031.544701
18.006628,349,1041.950649
19.86797,759,1053.652685
13.270722,312,1055.076936
20.310621,436,1060.255566
12.164029,400,1061.537753
20.870985,462,1064.113229
22.915976,800,1067.913378
12.710212,325,1070.794524
14.520523,337,1083.797409
4.512169,174,1084.78874
14.303741,318,1087.931458
14.76413,412,1110.747025
15.410635,402,1118.741318
8.231493,165,1120.353174
21.338863,800,1121.566444
24.52172,800,1150.470083
14.119137,394,1152.609201
22.466946,800,1157.104612
7.3776245,139,1163.500229
20.61816,618,1173.666297
25.252064,800,1175.165382
13.008542,285,1178.871361
24.446447,800,1179.615646
21.400637,800,1202.357486
28.053057,800,1211.585469
8.222481,169,1214.19801
13.560525,326,1223.223213
23.766333,587,1235.292641
17.609056,488,1241.531656
23.486338,800,1247.718259
13.715318,333,1263.382385
24.197252,800,1264.583737
21.030184,800,1290.230899
25.091583,800,1300.08381
29.983843,800,1303.050412
23.524878,800,1312.43838
22.309132,800,1330.518686
12.55261,345,1332.926511
26.771225,800,1337.413716
11.873125,315,1340.254721
8.210831,167,1347.787851
5.7555456,161,1351.987753
22.895496,800,1354.906271
20.510788,800,1356.152421
21.016434,800,1381.952323
7.5219107,155,1383.214465
15.120702,303,1388.479137
32.354527,800,1392.302638
11.982837,321,1400.850265
10.21753,245,1404.250893
7.0298023,148,1405.463068
18.89896,697,1414.009477
7.405302,154,1418.75492
11.543857,240,1425.562331
13.6854725,437,1427.011638
18.10067,581,1428.453408
25.461056,602,1435.719347
9.309559,201,1437.454077
8.302534,185,1444.445301
20.470524,800,1447.100513
19.855482,561,1451.829334
8.297334,233,1478.023795
24.478188,800,1503.870499
10.280799,349,1507.649825
25.820688,800,1516.289534
23.702946,800,1517.763114
12.390422,236,1525.816226
25.339735,800,1526.698632
9.300675,184,1534.209754
22.912106,800,1535.685612
25.09745,800,1538.367596
21.904472,800,1542.912704
6.422807,133,1569.976901
25.156952,800,1599.14765
24.123522,800,1607.993813
24.71987,800,1617.21478
23.280035,800,1618.132874
22.66842,800,1625.885878
27.42145,800,1627.390138
24.488777,800,1634.333414
24.529152,800,1661.220175
11.740441,245,1668.185504
10.43146,316,1673.330267
26.556648,800,1689.562747
23.915106,762,1694.896884
14.551236,421,1697.48603
28.275145,800,1707.452609
27.235014,800,1708.320751
24.777468,520,1713.889456
10.262868,308,1717.932109
26.482988,800,1724.163647
10.117661,233,1748.891261
13.605108,306,1754.765851
10.646711,216,1756.83464
23.707151,800,1763.927634
11.893012,210,1773.095207
21.276352,800,1785.892061
